drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus,prior_repurposing_count,dc_struct_id,dc_approval_date,established_product,why_stopped_classification,label,split
Insulin Human,DB00030,Diabetes Mellitus,C0011849,Approved,,,2,5057,2004-04-16,True,,repurposed-success,discovery
Tenecteplase,DB00031,Acute myocardial infarction,C0155626,Approved,,,0,5066,2000-06-02,True,,original-approval,confirmation
Desmopressin,DB00035,Hemophilia A,C0019069,Approved,,,2,817,1978-02-21,True,,repurposed-success,discovery
Desmopressin,DB00035,von Willebrand Disease,C0042974,Approved,,,2,817,1978-02-21,True,,repurposed-success,discovery
Desmopressin,DB00035,Bedwetting,C0270327,Approved,,,2,817,1978-02-21,True,,repurposed-success,discovery
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia A,C0019069,Approved,,,3,5159,1996-02-23,True,,repurposed-success,confirmation
Coagulation factor VIIa Recombinant Human,DB00036,Hemophilia B,C0008533,Approved,,,3,5159,1996-02-23,True,,repurposed-success,confirmation
Coagulation factor VIIa Recombinant Human,DB00036,Thrombasthenia,C0040015,Approved,,,3,5159,1996-02-23,True,,repurposed-success,confirmation
Coagulation factor VIIa Recombinant Human,DB00036,Factor VII Deficiency,C0015503,Approved,,,3,5159,1996-02-23,True,,repurposed-success,confirmation
Oprelvekin,DB00038,Thrombocytopenia,C0040034,Approved,,,0,5026,1997-11-25,True,,original-approval,discovery
Palifermin,DB00039,Mucositis following radiation therapy,C0392190,Approved,,,1,4804,2004-12-15,True,,repurposed-success,confirmation
Palifermin,DB00039,Drug-induced mucositis,C1274988,Approved,,,1,4804,2004-12-15,True,,repurposed-success,confirmation
Glucagon recombinant,DB00040,Hypoglycemia,C0020615,Approved,,,0,2994,1960-11-14,True,,original-approval,discovery
Aldesleukin,DB00041,"Leukemia, Myelocytic, Acute",C0023467,Approved,,,2,5011,1992-05-05,True,,repurposed-success,discovery
Aldesleukin,DB00041,Metastatic Renal Cell Cancer,C0278678,Approved,,,2,5011,1992-05-05,True,,repurposed-success,discovery
Aldesleukin,DB00041,"Malignant melanoma, metastatic",C0860594,Approved,,,2,5011,1992-05-05,True,,repurposed-success,discovery
Omalizumab,DB00043,Asthma,C0004096,Approved,,,1,4972,2003-06-20,True,,repurposed-success,discovery
Omalizumab,DB00043,Chronic idiopathic urticaria,C0578870,Approved,,,1,4972,2003-06-20,True,,repurposed-success,discovery
Insulin Lispro,DB00046,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,,1,5002,1996-04-30,True,,repurposed-success,confirmation
Insulin Lispro,DB00046,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,,1,5002,1996-04-30,True,,repurposed-success,confirmation
Insulin Glargine,DB00047,"Diabetes Mellitus, Insulin-Dependent",C0011854,Approved,,,1,4901,2000-04-20,True,,repurposed-success,discovery
Insulin Glargine,DB00047,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,Approved,,,1,4901,2000-04-20,True,,repurposed-success,discovery
Collagenase clostridium histolyticum,DB00048,"Dupuytren's disease of finger, with contracture",C0410065,Approved,,,1,5051,1965-06-04,True,,repurposed-success,confirmation
Collagenase clostridium histolyticum,DB00048,Peyronie Disease,C0030848,Approved,,,1,5051,1965-06-04,True,,repurposed-success,confirmation
Rasburicase,DB00049,Hyperuricemia,C0740394,Approved,,,0,4994,2001-02-23,True,,original-approval,discovery
Adalimumab,DB00051,Rheumatoid Arthritis,C0003873,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Juvenile arthritis,C3495559,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,"Arthritis, Psoriatic",C0003872,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Ankylosing spondylitis,C0038013,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Crohn Disease,C0010346,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Ulcerative Colitis,C0009324,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Chronic small plaque psoriasis,C0406317,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Adalimumab,DB00051,Hidradenitis Suppurativa,C0162836,Approved,,,7,4904,2002-12-31,True,,repurposed-success,confirmation
Somatropin recombinant,DB00052,Growth retardation,C0151686,Approved,,,3,4848,1976-07-30,True,,repurposed-success,confirmation
Somatropin recombinant,DB00052,Prader-Willi Syndrome,C0032897,Approved,,,3,4848,1976-07-30,True,,repurposed-success,confirmation
Somatropin recombinant,DB00052,Pituitary dwarfism,C0013338,Approved,,,3,4848,1976-07-30,True,,repurposed-success,confirmation
Somatropin recombinant,DB00052,Turner Syndrome,C0041408,Approved,,,3,4848,1976-07-30,True,,repurposed-success,confirmation
Imiglucerase,DB00053,Gaucher Disease,C0017205,Approved,,,0,4932,1994-05-23,True,,original-approval,discovery
Gemtuzumab ozogamicin,DB00056,"Leukemia, Myelocytic, Acute",C0023467,Approved,,,0,4980,2000-05-17,True,,original-approval,confirmation
Pegaspargase,DB00059,Acute lymphocytic leukemia,C0023449,Approved,,,0,5082,1994-02-01,True,,original-approval,confirmation
Interferon beta-1a,DB00060,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,,0,5139,1996-05-17,True,,original-approval,confirmation
Eptifibatide,DB00063,Acute Coronary Syndrome,C0948089,Approved,,,0,1040,1998-05-18,True,,original-approval,confirmation
Infliximab,DB00065,Crohn Disease,C0010346,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Infliximab,DB00065,Ulcerative Colitis,C0009324,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Infliximab,DB00065,Rheumatoid Arthritis,C0003873,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Infliximab,DB00065,Ankylosing spondylitis,C0038013,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Infliximab,DB00065,"Arthritis, Psoriatic",C0003872,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Infliximab,DB00065,Chronic small plaque psoriasis,C0406317,Approved,,,5,4974,1998-08-24,True,,repurposed-success,confirmation
Vasopressin,DB00067,Bedwetting,C0270327,Approved,,,2,2810,,False,,repurposed-success,discovery
Vasopressin,DB00067,von Willebrand Disease,C0042974,Approved,,,2,2810,,False,,repurposed-success,discovery
Vasopressin,DB00067,Hemophilia A,C0019069,Approved,,,2,2810,,False,,repurposed-success,discovery
Interferon beta-1b,DB00068,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,,0,5140,1993-07-23,True,,original-approval,discovery
Trastuzumab,DB00072,HER2-positive carcinoma of breast,C1960398,Approved,,,2,4979,1998-09-25,True,,repurposed-success,discovery
Trastuzumab,DB00072,Secondary malignant neoplasm of female breast,C0346993,Approved,,,2,4979,1998-09-25,True,,repurposed-success,discovery
Trastuzumab,DB00072,Secondary malignant neoplasm of stomach,C0686068,Approved,,,2,4979,1998-09-25,True,,repurposed-success,discovery
Rituximab,DB00073,"Lymphoma, Non-Hodgkin",C0024305,Approved,,,2,4975,1997-11-26,True,,repurposed-success,confirmation
Rituximab,DB00073,Chronic Lymphocytic Leukemia,C0023434,Approved,,,2,4975,1997-11-26,True,,repurposed-success,confirmation
Rituximab,DB00073,Rheumatoid Arthritis,C0003873,Approved,,,2,4975,1997-11-26,True,,repurposed-success,confirmation
Basiliximab,DB00074,Renal transplant rejection,C0238217,Approved,,,0,4940,1998-05-12,True,,original-approval,discovery
Ibritumomab tiuxetan,DB00078,"Lymphoma, Follicular",C0024301,Approved,,,0,4984,2002-02-19,True,,original-approval,discovery
Daptomycin,DB00080,Right-sided Staphylococcus aureus endocarditis,C1960924,Approved,,,1,783,2003-09-12,True,,repurposed-success,discovery
Daptomycin,DB00080,Sepsis due to Staphylococcus aureus,C2887088,Approved,,,1,783,2003-09-12,True,,repurposed-success,discovery
Pegvisomant,DB00082,Acromegaly,C0001206,Approved,,,0,5015,2002-11-13,True,,original-approval,discovery
Pancrelipase,DB00085,Exocrine pancreatic insufficiency,C0267963,Approved,,,0,5161,,False,,original-approval,discovery
Alemtuzumab,DB00087,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,,0,4909,2001-05-07,True,,original-approval,discovery
Alglucerase,DB00088,"Gaucher Disease, Type 1",C1961835,Approved,,,0,5129,1991-04-05,True,,original-approval,confirmation
Laronidase,DB00090,Mucopolysaccharidosis I,C0023786,Approved,,,0,4997,2003-04-30,True,,original-approval,discovery
Cyclosporine,DB00091,Rheumatoid Arthritis,C0003873,Approved,,,2,760,1983-11-14,True,,repurposed-success,discovery
Cyclosporine,DB00091,Dry Eye Syndromes,C0013238,Approved,,,2,760,1983-11-14,True,,repurposed-success,discovery
Cyclosporine,DB00091,Keratoconjunctivitis Sicca,C0022575,Approved,,,2,760,1983-11-14,True,,repurposed-success,discovery
Alefacept,DB00092,Chronic small plaque psoriasis,C0406317,Approved,,,0,5088,2003-01-30,True,,original-approval,discovery
Efalizumab,DB00095,Chronic small plaque psoriasis,C0406317,Approved,,,0,4959,2003-10-27,True,,original-approval,confirmation
Filgrastim,DB00099,Chemotherapy-induced neutropenia,C1827687,Approved,,,3,4987,1991-02-20,True,,repurposed-success,discovery
Filgrastim,DB00099,Congenital neutropenia,C0340970,Approved,,,3,4987,1991-02-20,True,,repurposed-success,discovery
Filgrastim,DB00099,Cyclic neutropenia,C0221023,Approved,,,3,4987,1991-02-20,True,,repurposed-success,discovery
Filgrastim,DB00099,Chronic idiopathic neutropenia,C2267231,Approved,,,3,4987,1991-02-20,True,,repurposed-success,discovery
Coagulation Factor IX,DB00100,Hemophilia B,C0008533,Approved,,,0,5163,1997-08-27,True,,original-approval,discovery
Becaplermin,DB00102,Neuropathic diabetic ulcer - foot,C0406526,Approved,,,0,4925,1997-12-16,True,,original-approval,confirmation
Agalsidase beta,DB00103,Fabry Disease,C0002986,Approved,,,0,5018,2001-08-03,True,,original-approval,confirmation
Octreotide,DB00104,Acromegaly,C0001206,Approved,,,1,1980,1988-10-21,True,,repurposed-success,discovery
Octreotide,DB00104,Malignant Carcinoid Syndrome,C0024586,Approved,,,1,1980,1988-10-21,True,,repurposed-success,discovery
Abarelix,DB00106,Ischemic priapism,C2711256,Approved,,,0,35,2003-11-25,True,,original-approval,confirmation
Oxytocin,DB00107,Unspecified Abortion,C0156543,Approved,,,2,2042,1980-04-17,True,,repurposed-success,discovery
Oxytocin,DB00107,Postpartum Hemorrhage,C0032797,Approved,,,2,2042,1980-04-17,True,,repurposed-success,discovery
Oxytocin,DB00107,Incomplete spontaneous abortion,C0000810,Approved,,,2,2042,1980-04-17,True,,repurposed-success,discovery
Natalizumab,DB00108,Multiple Sclerosis,C0026769,Approved,,,1,4970,2004-11-23,True,,repurposed-success,discovery
Natalizumab,DB00108,Crohn Disease,C0010346,Approved,,,1,4970,2004-11-23,True,,repurposed-success,discovery
Enfuvirtide,DB00109,HIV Infections,C0019693,Approved,,,0,1010,2003-03-13,True,,original-approval,confirmation
Palivizumab,DB00110,Respiratory Syncytial Virus Infections,C0035235,Approved,,,0,4935,1998-06-19,True,,original-approval,discovery
Daclizumab,DB00111,Renal transplant rejection,C0238217,Approved,,,1,4953,1997-12-10,True,,repurposed-success,confirmation
Daclizumab,DB00111,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,,1,4953,1997-12-10,True,,repurposed-success,confirmation
Bevacizumab,DB00112,Secondary malignant neoplasm of colon,C0346974,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Nonsquamous nonsmall cell neoplasm of lung,C2585890,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Glioblastoma Multiforme,C1621958,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Metastatic Renal Cell Cancer,C0278678,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Cervix carcinoma,C0302592,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Malignant tumor of peritoneum,C0153467,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Malignant epithelial tumor of ovary,C0346161,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Bevacizumab,DB00112,Malignant neoplasm of fallopian tube,C0153579,Approved,,,7,4956,2004-02-26,True,,repurposed-success,discovery
Cyanocobalamin,DB00115,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,,4,4196,1949-09-15,True,,repurposed-success,discovery
Cyanocobalamin,DB00115,"Anemia, Pernicious",C0002892,Approved,,,4,4196,1949-09-15,True,,repurposed-success,discovery
Cyanocobalamin,DB00115,Iron deficiency anemia,C0162316,Approved,,,4,4196,1949-09-15,True,,repurposed-success,discovery
Cyanocobalamin,DB00115,Vitamin Deficiency,C1510471,Approved,,,4,4196,1949-09-15,True,,repurposed-success,discovery
Cyanocobalamin,DB00115,Vitamin B 12 Deficiency,C0042847,Approved,,,4,4196,1949-09-15,True,,repurposed-success,discovery
Biotin,DB00121,Biotin deficiency disease,C2937225,Approved,,,0,373,1953-02-20,True,,original-approval,discovery
Choline,DB00122,Sleeplessness,C0917801,Approved,,,0,4662,,False,,original-approval,discovery
Vitamin C,DB00126,Breastfeeding (mother),C1623040,Approved,,,1,4072,,False,,repurposed-success,discovery
Vitamin C,DB00126,Vitamin Deficiency,C1510471,Approved,,,1,4072,,False,,repurposed-success,discovery
L-Aspartic Acid,DB00128,Hypokalemia,C0020621,Approved,,,0,1550,,False,,original-approval,discovery
L-Glutamine,DB00130,Short Bowel Syndrome,C0036992,Approved,,,0,1311,2004-06-10,True,,original-approval,discovery
Adenosine monophosphate,DB00131,Pulmonary Cystic Fibrosis,C0392164,Approved,,,0,92,,False,,original-approval,discovery
L-Serine,DB00133,"Glaucoma, Open-Angle",C0017612,Approved,,,4,4127,,False,,repurposed-success,discovery
L-Serine,DB00133,Bacterial urinary infection,C0729524,Approved,,,4,4127,,False,,repurposed-success,discovery
L-Serine,DB00133,"Tuberculosis, Pulmonary",C0041327,Approved,,,4,4127,,False,,repurposed-success,discovery
L-Serine,DB00133,Acute tuberculosis,C0275959,Approved,,,4,4127,,False,,repurposed-success,discovery
L-Serine,DB00133,Escherichia coli urinary tract infection,C0577708,Approved,,,4,4127,,False,,repurposed-success,discovery
Calcitriol,DB00136,Chronic small plaque psoriasis,C0406317,Approved,,,4,466,1978-08-17,True,,repurposed-success,confirmation
Calcitriol,DB00136,Hypocalcemia,C0020598,Approved,,,4,466,1978-08-17,True,,repurposed-success,confirmation
Calcitriol,DB00136,Hypophosphatemia,C0085682,Approved,,,4,466,1978-08-17,True,,repurposed-success,confirmation
Calcitriol,DB00136,Renal Osteodystrophy,C0035086,Approved,,,4,466,1978-08-17,True,,repurposed-success,confirmation
Calcitriol,DB00136,Hypoparathyroidism,C0020626,Approved,,,4,466,1978-08-17,True,,repurposed-success,confirmation
Xanthophyll,DB00137,Age related macular degeneration,C0242383,Approved,,,2,4145,,False,,repurposed-success,discovery
Xanthophyll,DB00137,Dry Eye Syndromes,C0013238,Approved,,,2,4145,,False,,repurposed-success,discovery
Xanthophyll,DB00137,Meibomian gland dysfunction,C1275684,Approved,,,2,4145,,False,,repurposed-success,discovery
Succinic acid,DB00139,Iron deficiency anemia,C0162316,Approved,,,0,2487,,False,,original-approval,discovery
Riboflavin,DB00140,Mineral deficiency,C0687148,Approved,,,1,2834,1953-02-20,True,,repurposed-success,confirmation
Riboflavin,DB00140,Vitamin Deficiency,C1510471,Approved,,,1,2834,1953-02-20,True,,repurposed-success,confirmation
Glycine,DB00145,Rhinorrhea,C1260880,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Glycine,DB00145,Coughing,C0010200,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Glycine,DB00145,Nasal congestion (finding),C0027424,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Glycine,DB00145,Allergic rhinitis (disorder),C2607914,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Glycine,DB00145,Rhinitis,C0035455,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Glycine,DB00145,Common Cold,C0009443,Approved,,,5,1319,1976-05-25,True,,repurposed-success,discovery
Calcidiol,DB00146,Hypocalcemia,C0020598,Approved,,,3,464,1980-08-05,True,,repurposed-success,confirmation
Calcidiol,DB00146,Renal Osteodystrophy,C0035086,Approved,,,3,464,1980-08-05,True,,repurposed-success,confirmation
Calcidiol,DB00146,Rickets,C0035579,Approved,,,3,464,1980-08-05,True,,repurposed-success,confirmation
Calcidiol,DB00146,Hypophosphatemia,C0085682,Approved,,,3,464,1980-08-05,True,,repurposed-success,confirmation
L-Cysteine,DB00151,Bronchitis,C0006277,Approved,,,4,769,1986-10-22,True,,repurposed-success,discovery
L-Cysteine,DB00151,Poisoning by acetaminophen,C0237963,Approved,,,4,769,1986-10-22,True,,repurposed-success,discovery
L-Cysteine,DB00151,Amyloidosis,C0002726,Approved,,,4,769,1986-10-22,True,,repurposed-success,discovery
L-Cysteine,DB00151,Pulmonary Cystic Fibrosis,C0392164,Approved,,,4,769,1986-10-22,True,,repurposed-success,discovery
L-Cysteine,DB00151,Bronchiectasis,C0006267,Approved,,,4,769,1986-10-22,True,,repurposed-success,discovery
Thiamine,DB00152,Vitamin B 12 Deficiency,C0042847,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Thiamine,DB00152,Wernicke-Korsakoff Syndrome,C0349464,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Thiamine,DB00152,Vitamin Deficiency,C1510471,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Thiamine,DB00152,"Anemia, Pernicious",C0002892,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Thiamine,DB00152,Thiamine Deficiency,C0039841,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Thiamine,DB00152,Mineral deficiency,C0687148,Approved,,,5,2832,1993-12-29,True,,repurposed-success,discovery
Ergocalciferol,DB00153,Vitamin D Deficiency,C0042870,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Osteomalacia,C0029442,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Rickets,C0035579,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Vitamin D-dependent rickets,C0221468,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Vitamin Deficiency,C1510471,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Osteoporosis,C0029456,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Hypocalcemia,C0020598,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,"Osteoporosis, Postmenopausal",C0029458,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,"Vitamin D-Resistant Rickets, X-Linked",C3536984,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Ergocalciferol,DB00153,Hypoparathyroidism,C0020626,Approved,,,9,2838,1941-01-11,True,,repurposed-success,confirmation
Folic Acid,DB00158,Megaloblastic anemia due to folate deficiency,C0151482,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Folic Acid,DB00158,Mineral deficiency,C0687148,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Folic Acid,DB00158,Breastfeeding (mother),C1623040,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Folic Acid,DB00158,Iron deficiency anemia,C0162316,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Folic Acid,DB00158,Folic Acid Deficiency,C0016412,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Folic Acid,DB00158,Vitamin Deficiency,C1510471,Approved,,,5,1231,1946-08-13,True,,repurposed-success,confirmation
Icosapent,DB00159,Breastfeeding (mother),C1623040,Approved,,,1,3174,,False,,repurposed-success,confirmation
Icosapent,DB00159,Hypertriglyceridemia,C0020557,Approved,,,1,3174,,False,,repurposed-success,confirmation
Vitamin A,DB00162,Mineral deficiency,C0687148,Approved,,,2,4197,1949-05-18,True,,repurposed-success,discovery
Vitamin A,DB00162,Vitamin Deficiency,C1510471,Approved,,,2,4197,1949-05-18,True,,repurposed-success,discovery
Vitamin A,DB00162,Vitamin A Deficiency,C0042842,Approved,,,2,4197,1949-05-18,True,,repurposed-success,discovery
Vitamin E,DB00163,Vitamin E Deficiency,C0042875,Approved,,,0,4280,,False,,original-approval,discovery
Pyridoxine,DB00165,Breastfeeding (mother),C1623040,Approved,,,2,2836,1993-12-29,True,,repurposed-success,discovery
Pyridoxine,DB00165,"EPILEPSY, PYRIDOXINE-DEPENDENT",C1849508,Approved,,,2,2836,1993-12-29,True,,repurposed-success,discovery
Pyridoxine,DB00165,Vitamin B 6 Deficiency,C0936215,Approved,,,2,2836,1993-12-29,True,,repurposed-success,discovery
Lipoic Acid,DB00166,Diabetic peripheral neuropathy,C0740447,Approved,,,0,4732,,False,,original-approval,discovery
Cholecalciferol,DB00169,"Osteoporosis, Postmenopausal",C0029458,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Hypoparathyroidism,C0020626,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Rickets,C0035579,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Hypocalcemia,C0020598,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Vitamin Deficiency,C1510471,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Osteomalacia,C0029442,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
Cholecalciferol,DB00169,Vitamin D-dependent rickets,C0221468,Approved,,,7,2840,2000-05-18,True,,repurposed-success,discovery
