drug_name,drug_id,ind_name,ind_id,status,phase,DetailedStatus
Hydrocortisone,DB00741,Exanthema,C0015230,Approved,,
Hydrocortisone,DB00741,Synovitis,C0039103,Approved,,
Hydrocortisone,DB00741,Herpes zoster keratitis,C1275687,Approved,,
Hydrocortisone,DB00741,Aphthous Stomatitis,C0038363,Approved,,
Hydrocortisone,DB00741,Angioedema,C0002994,Approved,,
Hydrocortisone,DB00741,Humoral hypercalcemia of malignancy (disorder),C0149911,Approved,,
Hydrocortisone,DB00741,Corneal Ulcer,C0010043,Approved,,
Hydrocortisone,DB00741,"Anemia, Diamond-Blackfan",C1260899,Approved,,
Hydrocortisone,DB00741,Cooley's anemia,C0002875,Approved,,
Hydrocortisone,DB00741,Multiple Sclerosis,C0026769,Approved,,
Hydrocortisone,DB00741,Psoriasis,C0033860,Approved,,
Hydrocortisone,DB00741,Aspiration pneumonitis,C1761609,Approved,,
Hydrocortisone,DB00741,Adrenogenital disorder,C0701163,Approved,,
Hydrocortisone,DB00741,Iridocyclitis,C0022073,Approved,,
Hydrocortisone,DB00741,"Lupus Erythematosus, Discoid",C0024138,Approved,,
Hydrocortisone,DB00741,Pemphigus,C0030807,Approved,,
Hydrocortisone,DB00741,Dermatitis Herpetiformis,C0011608,Approved,,
Hydrocortisone,DB00741,Tenosynovitis,C0039520,Approved,,
Hydrocortisone,DB00741,Acne Vulgaris,C0001144,Approved,,
Hydrocortisone,DB00741,Trichinellosis,C0040896,Approved,,
Hydrocortisone,DB00741,Acute lymphocytic leukemia,C0023449,Approved,,
Hydrocortisone,DB00741,Tinea Pedis,C0040259,Approved,,
Hydrocortisone,DB00741,Malignant otitis externa due to Pseudomonas aeruginosa,C0395818,Approved,,
Hydrocortisone,DB00741,Allergic Conjunctivitis,C0009766,Approved,,
Hydrocortisone,DB00741,Seborrheic dermatitis,C0036508,Approved,,
Hydrocortisone,DB00741,Rosacea,C0035854,Approved,,
Hydrocortisone,DB00741,Granuloma Annulare,C0085074,Approved,,
Hydrocortisone,DB00741,Serum Sickness,C0036830,Approved,,
Hydrocortisone,DB00741,Hodgkin Disease,C0019829,Approved,,
Hydrocortisone,DB00741,Infective otitis externa,C0021355,Approved,,
Hydrocortisone,DB00741,Exfoliative dermatitis,C0011606,Approved,,
Hydrocortisone,DB00741,"Lymphoma, Non-Hodgkin",C0024305,Approved,,
Hydrocortisone,DB00741,Acquired thrombocytopenia,C0154301,Approved,,
Hydrocortisone,DB00741,Simple Pulmonary Eosinophilia,C0242459,Approved,,
Hydrocortisone,DB00741,Thyroiditis,C0040147,Approved,,
Hydrocortisone,DB00741,"Dermatitis, Atopic",C0011615,Approved,,
Hydrocortisone,DB00741,Bursitis,C0006444,Approved,,
Hydrocortisone,DB00741,Chronic small plaque psoriasis,C0406317,Approved,,
Hydrocortisone,DB00741,Asthma,C0004096,Approved,,
Hydrocortisone,DB00741,Erythema Multiforme,C0014742,Approved,,
Hydrocortisone,DB00741,"Arthritis, Gouty",C0003868,Approved,,
Hydrocortisone,DB00741,Tinea cruris,C1384589,Approved,,
Hydrocortisone,DB00741,Itching of ear,C0849907,Approved,,
Hydrocortisone,DB00741,Hemorrhoids,C0019112,Approved,,
Hydrocortisone,DB00741,"Arthritis, Psoriatic",C0003872,Approved,,
Hydrocortisone,DB00741,Addisonian crisis,C0151467,Approved,,
Hydrocortisone,DB00741,Pruritus of genital organs,C0033777,Approved,,
Hydrocortisone,DB00741,Adrenal cortical hypofunction,C0405580,Approved,,
Hydrocortisone,DB00741,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved,,
Hydrocortisone,DB00741,Iritis,C0022081,Approved,,
Hydrocortisone,DB00741,Tinea corporis (disorder),C0040252,Approved,,
Hydrocortisone,DB00741,Post traumatic osteoarthritis,C2894027,Approved,,
Hydrocortisone,DB00741,Cyclitis,C0010543,Approved,,
Hydrocortisone,DB00741,Scalp psoriasis,C0406326,Approved,,
Hydrocortisone,DB00741,Addison Disease,C0001403,Approved,,
Hydrocortisone,DB00741,Mycosis Fungoides,C0026948,Approved,,
Hydrocortisone,DB00741,Inflammatory dermatosis,C3875321,Approved,,
Hydrocortisone,DB00741,Status Asthmaticus,C0038218,Approved,,
Hydrocortisone,DB00741,Allergic rhinitis (disorder),C2607914,Approved,,
Hydrocortisone,DB00741,Autoimmune Diseases,C0004364,Approved,,
Hydrocortisone,DB00741,Chronic ulcerative proctitis,C2937222,Approved,,
Hydrocortisone,DB00741,Contact Dermatitis,C0011616,Approved,,
Hydrocortisone,DB00741,Otitis Externa,C0029878,Approved,,
Hydrocortisone,DB00741,Gingival Diseases,C0017563,Approved,,
Hydrocortisone,DB00741,Ulcerative Colitis,C0009324,Approved,,
Hydrocortisone,DB00741,Tendinitis,C0039503,Approved,,
Hydrocortisone,DB00741,Autoimmune hemolytic anemia,C0002880,Approved,,
Hydrocortisone,DB00741,Disorder of eye,C0015397,Approved,,
Hydrocortisone,DB00741,Sarcoidosis,C0036202,Approved,,
Hydrocortisone,DB00741,Berylliosis,C0005138,Approved,,
Hydrocortisone,DB00741,Musculoskeletal Diseases,C0026857,Approved,,
Hydrocortisone,DB00741,Ankylosing spondylitis,C0038013,Approved,,
Hydrocortisone,DB00741,Punctate keratopathy,C0423234,Approved,,
Hydrocortisone,DB00741,Pruritus Ani,C0033775,Approved,,
Irinotecan,DB00762,Metastasis from malignant tumor of colon,C1282500,Approved,,
Irinotecan,DB00762,Secondary malignant neoplasm of pancreas,C0346976,Approved,,
Etoposide,DB00773,Small cell carcinoma of lung,C0149925,Approved,,
Estradiol,DB00783,Carcinoma breast stage IV,C0278488,Approved,,
Estradiol,DB00783,Atrophic Vaginitis,C0221392,Approved,,
Estradiol,DB00783,Urethral atrophy,C0520577,Approved,,
Estradiol,DB00783,Premenstrual Dysphoric Disorder,C0520676,Approved,,
Estradiol,DB00783,Acne Vulgaris,C0001144,Approved,,
Estradiol,DB00783,Atrophy of vulva,C0156393,Approved,,
Estradiol,DB00783,Female hypogonadism syndrome,C0271578,Approved,,
Estradiol,DB00783,Hot flushes,C0600142,Approved,,
Estradiol,DB00783,Metastatic Prostate Carcinoma,C0936223,Approved,,
Prednisolone,DB00860,Bacterial conjunctivitis,C0009768,Approved,,
Prednisolone,DB00860,Blepharoconjunctivitis,C0005743,Approved,,
Prednisolone,DB00860,Iridocyclitis,C0022073,Approved,,
Prednisolone,DB00860,Infective blepharitis,C0729587,Approved,,
Prednisolone,DB00860,"Dermatitis, Atopic",C0011615,Approved,,
Prednisolone,DB00860,Pruritus of genital organs,C0033777,Approved,,
Prednisolone,DB00860,Pruritus Ani,C0033775,Approved,,
Prednisolone,DB00860,"Lupus Erythematosus, Discoid",C0024138,Approved,,
Prednisolone,DB00860,Lichen Simplex Chronicus,C0149922,Approved,,
Prednisolone,DB00860,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved,,
Prednisolone,DB00860,Contact Dermatitis,C0011616,Approved,,
Prednisolone,DB00860,Granuloma Annulare,C0085074,Approved,,
Prednisolone,DB00860,Exanthema,C0015230,Approved,,
Prednisolone,DB00860,Scalp psoriasis,C0406326,Approved,,
Prednisolone,DB00860,Seborrheic dermatitis,C0036508,Approved,,
Prednisolone,DB00860,Chronic small plaque psoriasis,C0406317,Approved,,
Prednisolone,DB00860,"Ophthalmia, Sympathetic",C0029077,Approved,,
Prednisolone,DB00860,Mycosis Fungoides,C0026948,Approved,,
Prednisolone,DB00860,Ulcerative Colitis,C0009324,Approved,,
Prednisolone,DB00860,Eosinophilic Pneumonia,C1527407,Approved,,
Prednisolone,DB00860,Addison Disease,C0001403,Approved,,
Prednisolone,DB00860,Musculoskeletal Diseases,C0026857,Approved,,
Prednisolone,DB00860,"Arthritis, Gouty",C0003868,Approved,,
Prednisolone,DB00860,Addisonian crisis,C0151467,Approved,,
Prednisolone,DB00860,Disorder of eye,C0015397,Approved,,
Prednisolone,DB00860,Synovitis,C0039103,Approved,,
Prednisolone,DB00860,Bacterial keratitis,C0854211,Approved,,
Prednisolone,DB00860,Serum Sickness,C0036830,Approved,,
Prednisolone,DB00860,Multiple Sclerosis,C0026769,Approved,,
Prednisolone,DB00860,Sjogren's Syndrome,C1527336,Approved,,
Prednisolone,DB00860,Nephrotic Syndrome,C0027726,Approved,,
Prednisolone,DB00860,Exacerbation of asthma,C0349790,Approved,,
Prednisolone,DB00860,"Arthritis, Psoriatic",C0003872,Approved,,
Prednisolone,DB00860,Stevens-Johnson Syndrome,C0038325,Approved,,
Prednisolone,DB00860,Rheumatic Heart Disease,C0035439,Approved,,
Prednisolone,DB00860,Cyclitis,C0010543,Approved,,
Prednisolone,DB00860,"Lymphoma, Follicular",C0024301,Approved,,
Prednisolone,DB00860,Inflammatory Bowel Diseases,C0021390,Approved,,
Prednisolone,DB00860,Keratitis,C0022568,Approved,,
Prednisolone,DB00860,Ankylosing spondylitis,C0038013,Approved,,
Prednisolone,DB00860,Punctate keratopathy,C0423234,Approved,,
Prednisolone,DB00860,Crohn Disease,C0010346,Approved,,
Prednisolone,DB00860,Cooley's anemia,C0002875,Approved,,
Prednisolone,DB00860,Psoriasis,C0033860,Approved,,
Prednisolone,DB00860,Status Asthmaticus,C0038218,Approved,,
Prednisolone,DB00860,Simple Pulmonary Eosinophilia,C0242459,Approved,,
Prednisolone,DB00860,Corneal abrasion,C0010032,Approved,,
Prednisolone,DB00860,Uveitis,C0042164,Approved,,
Prednisolone,DB00860,"Lymphoma, Non-Hodgkin",C0024305,Approved,,
Prednisolone,DB00860,Acute lymphocytic leukemia,C0023449,Approved,,
Prednisolone,DB00860,Erythema Multiforme,C0014742,Approved,,
Prednisolone,DB00860,"Lupus Erythematosus, Systemic",C0024141,Approved,,
Prednisolone,DB00860,Adrenal cortical hypofunction,C0405580,Approved,,
Prednisolone,DB00860,Adrenogenital disorder,C0701163,Approved,,
Prednisolone,DB00860,Exfoliative dermatitis,C0011606,Approved,,
Prednisolone,DB00860,Pemphigus,C0030807,Approved,,
Prednisolone,DB00860,Ocular Rosacea,C0406486,Approved,,
Prednisolone,DB00860,Berylliosis,C0005138,Approved,,
Prednisolone,DB00860,"Anemia, Diamond-Blackfan",C1260899,Approved,,
Prednisolone,DB00860,Bursitis,C0006444,Approved,,
Prednisolone,DB00860,Epicondylitis,C0014488,Approved,,
Prednisolone,DB00860,Meibomianitis,C0549398,Approved,,
Prednisolone,DB00860,Acquired thrombocytopenia,C0154301,Approved,,
Prednisolone,DB00860,Giant Cell Arteritis,C0039483,Approved,,
Prednisolone,DB00860,Herpes zoster keratitis,C1275687,Approved,,
Prednisolone,DB00860,Sarcoidosis,C0036202,Approved,,
Prednisolone,DB00860,"Aspergillosis, Allergic Bronchopulmonary",C0004031,Approved,,
Prednisolone,DB00860,Post traumatic osteoarthritis,C2894027,Approved,,
Prednisolone,DB00860,Transplanted organ rejection,C0345468,Approved,,
Prednisolone,DB00860,Autoimmune Diseases,C0004364,Approved,,
Prednisolone,DB00860,Asthma,C0004096,Approved,,
Prednisolone,DB00860,Corneal Ulcer,C0010043,Approved,,
Prednisolone,DB00860,Rosacea,C0035854,Approved,,
Prednisolone,DB00860,Extrinsic allergic alveolitis,C0002390,Approved,,
Prednisolone,DB00860,Thyroiditis,C0040147,Approved,,
Prednisolone,DB00860,Dermatitis Herpetiformis,C0011608,Approved,,
Prednisolone,DB00860,Polymyalgia Rheumatica,C0032533,Approved,,
Prednisolone,DB00860,Dacryocystitis,C0010930,Approved,,
Prednisolone,DB00860,Rheumatoid Arthritis,C0003873,Approved,,
Prednisolone,DB00860,Angioedema,C0002994,Approved,,
Prednisolone,DB00860,Autoimmune hemolytic anemia,C0002880,Approved,,
Prednisolone,DB00860,Dermatologic disorders,C0037274,Approved,,
Prednisolone,DB00860,Congenital adrenal hyperplasia,C0001627,Approved,,
Prednisolone,DB00860,Tenosynovitis,C0039520,Approved,,
Prednisolone,DB00860,Iritis,C0022081,Approved,,
Prednisolone,DB00860,Cerebral Edema,C0006114,Approved,,
Prednisolone,DB00860,Allergic rhinitis (disorder),C2607914,Approved,,
Prednisolone,DB00860,Humoral hypercalcemia of malignancy (disorder),C0149911,Approved,,
Prednisolone,DB00860,"Tuberculosis, Miliary",C0041321,Approved,,
Prednisolone,DB00860,Tendinitis,C0039503,Approved,,
Prednisolone,DB00860,Hodgkin Disease,C0019829,Approved,,
Prednisolone,DB00860,Pulmonary Fibrosis,C0034069,Approved,,
Prednisolone,DB00860,Allergic Conjunctivitis,C0009766,Approved,,
Prednisolone,DB00860,Aspiration pneumonitis,C1761609,Approved,,
Prednisolone,DB00860,Laryngeal Edema,C0023052,Approved,,
Clomifene,DB00882,Female infertility,C0021361,Approved,,
Carboplatin,DB00958,Malignant neoplasm of ovary,C1140680,Approved,,
Methylprednisolone,DB00959,Mycosis Fungoides,C0026948,Approved,,
Methylprednisolone,DB00959,Asthma,C0004096,Approved,,
Methylprednisolone,DB00959,Rheumatoid Arthritis,C0003873,Approved,,
Methylprednisolone,DB00959,Rheumatic Heart Disease,C0035439,Approved,,
Methylprednisolone,DB00959,Pruritus Ani,C0033775,Approved,,
Methylprednisolone,DB00959,Laryngeal Edema,C0023052,Approved,,
Methylprednisolone,DB00959,Congenital adrenal hyperplasia,C0001627,Approved,,
Methylprednisolone,DB00959,Dermatologic disorders,C0037274,Approved,,
Methylprednisolone,DB00959,"Arthritis, Psoriatic",C0003872,Approved,,
Methylprednisolone,DB00959,Addison Disease,C0001403,Approved,,
Methylprednisolone,DB00959,Exacerbation of asthma,C0349790,Approved,,
Methylprednisolone,DB00959,Epicondylitis,C0014488,Approved,,
Methylprednisolone,DB00959,Exfoliative dermatitis,C0011606,Approved,,
Methylprednisolone,DB00959,Multiple Sclerosis,C0026769,Approved,,
Methylprednisolone,DB00959,Lichen Simplex Chronicus,C0149922,Approved,,
Methylprednisolone,DB00959,"Arthritis, Gouty",C0003868,Approved,,
Methylprednisolone,DB00959,Thyroiditis,C0040147,Approved,,
Methylprednisolone,DB00959,Autoimmune hemolytic anemia,C0002880,Approved,,
Methylprednisolone,DB00959,Chronic small plaque psoriasis,C0406317,Approved,,
Methylprednisolone,DB00959,"Lymphoma, T-Cell, Cutaneous",C0079773,Approved,,
Methylprednisolone,DB00959,Hodgkin Disease,C0019829,Approved,,
Methylprednisolone,DB00959,Dermatitis Herpetiformis,C0011608,Approved,,
Methylprednisolone,DB00959,Cerebral Edema,C0006114,Approved,,
Methylprednisolone,DB00959,"Lymphoma, Follicular",C0024301,Approved,,
Methylprednisolone,DB00959,Berylliosis,C0005138,Approved,,
Methylprednisolone,DB00959,"Lymphoma, Non-Hodgkin",C0024305,Approved,,
Methylprednisolone,DB00959,Erythema Multiforme,C0014742,Approved,,
Methylprednisolone,DB00959,Exanthema,C0015230,Approved,,
Methylprednisolone,DB00959,Granuloma Annulare,C0085074,Approved,,
Methylprednisolone,DB00959,Pruritus of genital organs,C0033777,Approved,,
Methylprednisolone,DB00959,Acute lymphocytic leukemia,C0023449,Approved,,
Methylprednisolone,DB00959,Synovitis,C0039103,Approved,,
Methylprednisolone,DB00959,Tendinitis,C0039503,Approved,,
Methylprednisolone,DB00959,Adrenogenital disorder,C0701163,Approved,,
Methylprednisolone,DB00959,Angioedema,C0002994,Approved,,
Methylprednisolone,DB00959,Serum Sickness,C0036830,Approved,,
Methylprednisolone,DB00959,Post traumatic osteoarthritis,C2894027,Approved,,
Methylprednisolone,DB00959,Scalp psoriasis,C0406326,Approved,,
Methylprednisolone,DB00959,Humoral hypercalcemia of malignancy (disorder),C0149911,Approved,,
Methylprednisolone,DB00959,"Lupus Erythematosus, Discoid",C0024138,Approved,,
Methylprednisolone,DB00959,Transplanted organ rejection,C0345468,Approved,,
Methylprednisolone,DB00959,Allergic rhinitis (disorder),C2607914,Approved,,
Methylprednisolone,DB00959,Acquired thrombocytopenia,C0154301,Approved,,
Methylprednisolone,DB00959,"Lupus Erythematosus, Systemic",C0024141,Approved,,
Methylprednisolone,DB00959,Tenosynovitis,C0039520,Approved,,
Methylprednisolone,DB00959,Seborrheic dermatitis,C0036508,Approved,,
Methylprednisolone,DB00959,Musculoskeletal Diseases,C0026857,Approved,,
Methylprednisolone,DB00959,Pemphigus,C0030807,Approved,,
Methylprednisolone,DB00959,Sarcoidosis,C0036202,Approved,,
Methylprednisolone,DB00959,Status Asthmaticus,C0038218,Approved,,
Methylprednisolone,DB00959,Simple Pulmonary Eosinophilia,C0242459,Approved,,
Methylprednisolone,DB00959,Contact Dermatitis,C0011616,Approved,,
Methylprednisolone,DB00959,Trichinellosis,C0040896,Approved,,
Methylprednisolone,DB00959,"Anemia, Diamond-Blackfan",C1260899,Approved,,
Methylprednisolone,DB00959,Adrenal cortical hypofunction,C0405580,Approved,,
Methylprednisolone,DB00959,Nephrotic Syndrome,C0027726,Approved,,
Methylprednisolone,DB00959,Ankylosing spondylitis,C0038013,Approved,,
Methylprednisolone,DB00959,Bursitis,C0006444,Approved,,
Methylprednisolone,DB00959,Crohn Disease,C0010346,Approved,,
Methylprednisolone,DB00959,Autoimmune Diseases,C0004364,Approved,,
Methylprednisolone,DB00959,Psoriasis,C0033860,Approved,,
Methylprednisolone,DB00959,"Tuberculosis, Miliary",C0041321,Approved,,
Methylprednisolone,DB00959,Addisonian crisis,C0151467,Approved,,
Methylprednisolone,DB00959,Disorder of eye,C0015397,Approved,,
Methylprednisolone,DB00959,Inflammatory Bowel Diseases,C0021390,Approved,,
Methylprednisolone,DB00959,Cooley's anemia,C0002875,Approved,,
Methylprednisolone,DB00959,Aspiration pneumonitis,C1761609,Approved,,
Methylprednisolone,DB00959,"Dermatitis, Atopic",C0011615,Approved,,
Methylprednisolone,DB00959,Hay fever,C0018621,Approved,,
Methylprednisolone,DB00959,"Rhinitis, Allergic, Perennial",C0035457,Approved,,
Dactinomycin,DB00970,Gestational Trophoblastic Neoplasms,C1135868,Approved,,
Dactinomycin,DB00970,Nephroblastoma,C0027708,Approved,,
Dactinomycin,DB00970,Rhabdomyosarcoma,C0035412,Approved,,
Dactinomycin,DB00970,Ewings sarcoma,C0553580,Approved,,
Cytarabine,DB00987,Meningeal Leukemia,C0948840,Approved,,
Cytarabine,DB00987,Metastatic Malignant Neoplasm to the Leptomeninges,C1704231,Approved,,
Cytarabine,DB00987,Acute Promyelocytic Leukemia,C0023487,Approved,,
Cytarabine,DB00987,"Leukemia, Myelocytic, Acute",C0023467,Approved,,
Cytarabine,DB00987,Acute lymphocytic leukemia,C0023449,Approved,,
Doxorubicin,DB00997,Hodgkin Disease,C0019829,Approved,,
Doxorubicin,DB00997,Carcinoma breast stage IV,C0278488,Approved,,
Doxorubicin,DB00997,Malignant epithelial neoplasm of female breast,C3163805,Approved,,
Doxorubicin,DB00997,Multiple Myeloma,C0026764,Approved,,
Doxorubicin,DB00997,Osteosarcoma of bone,C0585442,Approved,,
Doxorubicin,DB00997,AIDS with Kaposi's sarcoma,C0276535,Approved,,
Doxorubicin,DB00997,Diffuse Large B-Cell Lymphoma,C0079744,Approved,,
Doxorubicin,DB00997,"Lymphoma, Follicular",C0024301,Approved,,
Doxorubicin,DB00997,"Leukemia, Myelocytic, Acute",C0023467,Approved,,
Doxorubicin,DB00997,Nephroblastoma,C0027708,Approved,,
Doxorubicin,DB00997,"Lymphoma, Non-Hodgkin",C0024305,Approved,,
Doxorubicin,DB00997,Breast Carcinoma,C0678222,Approved,,
Doxorubicin,DB00997,Malignant neoplasm of lung,C0242379,Approved,,
Doxorubicin,DB00997,Small cell carcinoma of lung,C0149925,Approved,,
Doxorubicin,DB00997,Acute lymphocytic leukemia,C0023449,Approved,,
Doxorubicin,DB00997,Burkitt Lymphoma,C0006413,Approved,,
Doxorubicin,DB00997,Malignant neoplasm of stomach stage IV,C0278498,Approved,,
Doxorubicin,DB00997,Malignant neoplasm of thyroid,C0007115,Approved,,
Doxorubicin,DB00997,Kaposi Sarcoma,C0036220,Approved,,
Doxorubicin,DB00997,Neuroblastoma,C0027819,Approved,,
Doxorubicin,DB00997,Malignant neoplasm of ovary,C1140680,Approved,,
Thalidomide,DB01041,Multiple Myeloma,C0026764,Approved,,
Thalidomide,DB01041,Erythema nodosum leprosum,C0343467,Approved,,
Melphalan,DB01042,Malignant neoplasm of ovary,C1140680,Approved,,
Melphalan,DB01042,Multiple Myeloma,C0026764,Approved,,
Capecitabine,DB01101,Metastasis from malignant tumor of colon,C1282500,Approved,,
Capecitabine,DB01101,Malignant neoplasm of stomach,C0024623,Approved,,
Capecitabine,DB01101,Carcinoma breast stage IV,C0278488,Approved,,
Ifosfamide,DB01181,Testicular Germ Cell Tumor,C1336708,Approved,,
Mitoxantrone,DB01204,"Leukemia, Myelocytic, Acute",C0023467,Approved,,
Mitoxantrone,DB01204,Metastatic Prostate Carcinoma,C0936223,Approved,,
Mitoxantrone,DB01204,"Multiple Sclerosis, Relapsing-Remitting",C0751967,Approved,,
Budesonide,DB01222,Crohn Disease,C0010346,Approved,,
Budesonide,DB01222,Asthma,C0004096,Approved,,
Budesonide,DB01222,Allergic rhinitis (disorder),C2607914,Approved,,
Budesonide,DB01222,Crohn's disease in remission,C1960764,Approved,,
Dexamethasone,DB01234,Keloid,C0022548,Approved,,
Dexamethasone,DB01234,Allergic Conjunctivitis,C0009766,Approved,,
Dexamethasone,DB01234,Branch retinal vein occlusion with macular edema,C0339507,Approved,,
Dexamethasone,DB01234,Dermatitis Herpetiformis,C0011608,Approved,,
Dexamethasone,DB01234,Blepharoconjunctivitis,C0005743,Approved,,
Dexamethasone,DB01234,Corneal abrasion,C0010032,Approved,,
Dexamethasone,DB01234,Exanthema,C0015230,Approved,,
Dexamethasone,DB01234,Exacerbation of asthma,C0349790,Approved,,
Dexamethasone,DB01234,Humoral hypercalcemia of malignancy (disorder),C0149911,Approved,,
Dexamethasone,DB01234,Scalp psoriasis,C0406326,Approved,,
Dexamethasone,DB01234,Asthma,C0004096,Approved,,
Dexamethasone,DB01234,Autoimmune hemolytic anemia,C0002880,Approved,,
Dexamethasone,DB01234,Allergic rhinitis (disorder),C2607914,Approved,,
Dexamethasone,DB01234,Transplanted organ rejection,C0345468,Approved,,
Dexamethasone,DB01234,Angioedema,C0002994,Approved,,
Dexamethasone,DB01234,Pruritus Ani,C0033775,Approved,,
Dexamethasone,DB01234,Mycosis Fungoides,C0026948,Approved,,
Dexamethasone,DB01234,Epicondylitis,C0014488,Approved,,
Dexamethasone,DB01234,Punctate keratitis,C0259799,Approved,,
Dexamethasone,DB01234,Tenosynovitis,C0039520,Approved,,
Dexamethasone,DB01234,Rheumatic Heart Disease,C0035439,Approved,,
Dexamethasone,DB01234,Addisonian crisis,C0151467,Approved,,
Dexamethasone,DB01234,Inflammatory Bowel Diseases,C0021390,Approved,,
Dexamethasone,DB01234,Disorder of eye,C0015397,Approved,,
Dexamethasone,DB01234,Iridocyclitis,C0022073,Approved,,
Dexamethasone,DB01234,Bacterial keratitis,C0854211,Approved,,
Dexamethasone,DB01234,Ankylosing spondylitis,C0038013,Approved,,
Dexamethasone,DB01234,"Lupus Erythematosus, Discoid",C0024138,Approved,,
Dexamethasone,DB01234,Acquired thrombocytopenia,C0154301,Approved,,
Dexamethasone,DB01234,Lichen Simplex Chronicus,C0149922,Approved,,
Dexamethasone,DB01234,Herpes zoster keratitis,C1275687,Approved,,
Dexamethasone,DB01234,Crohn Disease,C0010346,Approved,,
Dexamethasone,DB01234,Trichinellosis,C0040896,Approved,,
Dexamethasone,DB01234,Cyclitis,C0010543,Approved,,
Dexamethasone,DB01234,Addison Disease,C0001403,Approved,,
Dexamethasone,DB01234,Erythema Multiforme,C0014742,Approved,,
Dexamethasone,DB01234,Adrenogenital disorder,C0701163,Approved,,
Dexamethasone,DB01234,"Dermatitis, Atopic",C0011615,Approved,,
Dexamethasone,DB01234,Corneal Ulcer,C0010043,Approved,,
Dexamethasone,DB01234,Hodgkin Disease,C0019829,Approved,,
Dexamethasone,DB01234,"Tuberculosis, Miliary",C0041321,Approved,,
Dexamethasone,DB01234,Serum Sickness,C0036830,Approved,,
Dexamethasone,DB01234,Exfoliative dermatitis,C0011606,Approved,,
Dexamethasone,DB01234,Psoriasis,C0033860,Approved,,
Dexamethasone,DB01234,Cerebral Edema,C0006114,Approved,,
Dexamethasone,DB01234,Granuloma Annulare,C0085074,Approved,,
Dexamethasone,DB01234,Chronic small plaque psoriasis,C0406317,Approved,,
Dexamethasone,DB01234,Pruritus of genital organs,C0033777,Approved,,
Dexamethasone,DB01234,Seborrheic dermatitis,C0036508,Approved,,
